note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
3,0.25,3.0,4.0,6,1,0.5,1.0,3.0,7,3,0.25,3.0,4.0,7,7,0.5,1.0,3.0,8,1_minor,5_major,1_minor,5_major
1,0.5,1.0,3.0,7,3,0.25,3.0,4.0,7,7,0.5,1.0,3.0,8,6,0.25,3.0,4.0,8,5_major,1_minor,5_major,1_minor
2,1.0,1.0,1.0,11,7,0.25,1.0,2.0,11,7,0.5,1.0,3.0,11,7,0.25,1.0,4.0,11,1_minor,6_major,2_diminished,3_major
7,0.25,1.0,2.0,11,7,0.5,1.0,3.0,11,7,0.25,1.0,4.0,11,6,1.0,1.0,1.0,12,6_major,2_diminished,3_major,1_minor
1,1.0,1.0,1.0,2,7,0.25,1.0,2.0,2,1,0.5,1.0,3.0,2,1,0.25,1.0,4.0,2,1_minor,3_major,6_major,3_major
7,0.25,1.0,2.0,2,1,0.5,1.0,3.0,2,1,0.25,1.0,4.0,2,7,1.0,1.0,1.0,3,3_major,6_major,3_major,1_minor
1,0.5,1.0,3.0,5,7,0.25,1.0,4.0,5,6,1.0,1.0,1.0,6,7,0.25,1.0,2.0,6,1_minor,5_major,1_minor,5_major
7,0.25,1.0,4.0,5,6,1.0,1.0,1.0,6,7,0.25,1.0,2.0,6,1,0.5,1.0,3.0,6,5_major,1_minor,5_major,1_minor
4,0.5,1.0,3.0,5,4,0.25,1.0,4.0,5,3,1.0,1.0,1.0,6,3,0.25,1.0,2.0,6,3_minor,6_minor,1_major,4_major
4,0.25,1.0,4.0,5,3,1.0,1.0,1.0,6,3,0.25,1.0,2.0,6,2,0.5,1.0,3.0,6,6_minor,1_major,4_major,3_minor
3,1.0,1.0,1.0,5,4,0.25,1.0,2.0,5,5,0.5,1.0,3.0,5,5,0.25,1.0,4.0,5,1_major,4_major,3_minor,6_minor
4,0.25,1.0,2.0,5,5,0.5,1.0,3.0,5,5,0.25,1.0,4.0,5,4,1.0,1.0,1.0,6,4_major,3_minor,6_minor,1_major
1,0.5,1.0,3.0,10,1,0.25,1.0,4.0,10,2,1.0,1.0,1.0,11,1,0.25,1.0,2.0,11,1_minor,7_major,1_minor,5_major
1,0.25,1.0,4.0,10,2,1.0,1.0,1.0,11,1,0.25,1.0,2.0,11,7,0.5,1.0,3.0,11,7_major,1_minor,5_major,1_minor
2,0.5,1.0,3.0,2,2,0.25,1.0,4.0,2,2,1.0,1.0,1.0,3,1,0.25,2.0,2.0,3,6_minor,2_minor,1_major,6_minor
2,0.25,1.0,4.0,2,2,1.0,1.0,1.0,3,1,0.25,2.0,2.0,3,7,0.25,1.0,4.0,3,2_minor,1_major,6_minor,2_minor
1,1.0,1.0,1.0,9,1,0.25,1.0,2.0,9,7,0.5,1.0,3.0,9,7,0.25,1.0,4.0,9,1_minor,5_minor,6_major,2_diminished
1,0.25,1.0,2.0,9,7,0.5,1.0,3.0,9,7,0.25,1.0,4.0,9,6,1.0,1.0,1.0,10,5_minor,6_major,2_diminished,1_minor
