note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
6,0.25,3.0,4.0,0,5,0.5,0.5,3.0,1,4,0.125,0.5,3.5,1,3,0.25,1.0,4.0,1,1_minor,6_major,1_minor,7_major
5,0.5,0.5,3.0,1,4,0.125,0.5,3.5,1,3,0.25,1.0,4.0,1,5,1.0,2.0,1.0,2,6_major,1_minor,7_major,1_minor
2,0.25,1.0,2.0,16,1,0.5,1.0,3.0,16,1,0.25,2.0,4.0,16,4,0.25,1.0,2.0,17,4_major,5_major,1_major,4_major
1,0.5,1.0,3.0,16,1,0.25,2.0,4.0,16,4,0.25,1.0,2.0,17,3,0.5,1.0,3.0,17,5_major,1_major,4_major,5_major
3,0.25,1.0,4.0,7,4,1.0,1.0,1.0,8,5,0.25,1.0,2.0,8,5,0.25,1.0,2.0,8,2_minor,1_major,6_minor,4_major
4,1.0,1.0,1.0,8,5,0.25,1.0,2.0,8,5,0.25,1.0,2.0,8,6,0.25,1.0,4.0,8,1_major,6_minor,4_major,2_minor
5,0.5,1.0,3.0,9,4,0.25,1.0,4.0,9,3,1.0,1.0,1.0,10,2,0.25,1.0,2.0,10,1_major,5_major,1_major,5_major
4,0.25,1.0,4.0,9,3,1.0,1.0,1.0,10,2,0.25,1.0,2.0,10,3,0.5,1.0,3.0,10,5_major,1_major,5_major,1_major
1,1.0,2.0,1.0,3,7,0.5,1.0,3.0,3,7,0.25,1.0,4.0,3,6,1.0,2.0,1.0,4,1_minor,5_minor,6_major,1_minor
7,0.5,1.0,3.0,3,7,0.25,1.0,4.0,3,6,1.0,2.0,1.0,4,6,1.0,1.0,1.0,4,5_minor,6_major,1_minor,5_minor
3,1.0,1.0,1.0,8,,0.25,1.0,2.0,8,3,0.5,3.0,3.0,8,,0.25,1.0,2.0,9,1_minor,5_major,1_minor,5_major
