note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
6,1.0,2.0,1.0,25,1,0.5,1.0,3.0,25,1,1.0,2.0,1.0,26,7,0.5,1.0,2.0,26,1_major,5_major,1_major,5_major
1,0.5,1.0,3.0,25,1,1.0,2.0,1.0,26,7,0.5,1.0,2.0,26,1,1.0,2.0,1.0,27,5_major,1_major,5_major,1_major
5,0.5,1.0,3.0,6,5,0.25,1.0,4.0,6,6,1.0,1.0,1.0,7,7,0.25,1.0,2.0,7,6_major,3_major,1_minor,3_major
5,0.25,1.0,4.0,6,6,1.0,1.0,1.0,7,7,0.25,1.0,2.0,7,1,0.5,1.0,3.0,7,3_major,1_minor,3_major,6_major
7,0.5,1.0,3.0,10,7,0.5,1.0,3.0,10,7,0.25,1.0,2.0,11,1,0.5,1.0,3.0,11,7_major,3_major,1_minor,7_major
7,0.5,1.0,3.0,10,7,0.25,1.0,2.0,11,1,0.5,1.0,3.0,11,7,0.25,1.0,4.0,11,3_major,1_minor,7_major,3_major
6,0.5,1.0,3.0,2,3,0.25,1.0,4.0,2,2,1.0,2.0,1.0,3,7,0.5,1.0,3.0,3,5_major,6_major,1_minor,5_major
3,0.25,1.0,4.0,2,2,1.0,2.0,1.0,3,7,0.5,1.0,3.0,3,7,0.25,1.0,4.0,3,6_major,1_minor,5_major,6_major
7,0.25,1.0,4.0,9,1,1.0,2.0,1.0,10,6,0.5,1.0,3.0,10,6,0.5,1.0,3.0,10,5_minor,5_major,1_minor,5_minor
1,1.0,2.0,1.0,10,6,0.5,1.0,3.0,10,6,0.5,1.0,3.0,10,1,1.0,2.0,1.0,11,5_major,1_minor,5_minor,5_major
7,0.5,1.0,3.0,3,1,1.0,1.0,1.0,4,1,1.0,1.0,1.0,4,1,1.0,1.0,1.0,4,7_major,1_minor,3_major,7_major
1,1.0,1.0,1.0,4,1,1.0,1.0,1.0,4,1,1.0,1.0,1.0,4,1,1.0,1.0,1.0,5,1_minor,3_major,7_major,1_minor
5,0.125,0.5,1.5,12,,0.25,1.0,2.0,12,3,0.5,1.0,3.0,12,,0.25,1.0,4.0,12,2_minor,1_minor,7_major,3_major
,0.25,1.0,2.0,12,3,0.5,1.0,3.0,12,,0.25,1.0,4.0,12,5,1.0,2.0,1.0,13,1_minor,7_major,3_major,1_minor
