note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
3,0.5,1.0,2.0,34,2,0.5,1.0,3.0,34,1,1.0,1.0,1.0,35,2,0.5,1.0,2.0,35,6_minor,4_major,1_major,6_minor
2,0.5,1.0,3.0,34,1,1.0,1.0,1.0,35,2,0.5,1.0,2.0,35,2,0.5,1.0,2.0,35,4_major,1_major,6_minor,4_major
6,0.25,1.0,4.0,12,2,1.0,1.0,1.0,13,2,1.0,1.0,1.0,13,7,0.5,1.0,3.0,13,3_major,1_minor,5_minor,6_major
2,1.0,1.0,1.0,13,2,1.0,1.0,1.0,13,7,0.5,1.0,3.0,13,1,0.25,1.0,4.0,13,1_minor,5_minor,6_major,3_major
1,0.25,1.0,2.0,5,7,0.5,1.0,3.0,5,6,0.25,1.0,4.0,5,7,1.0,1.0,1.0,6,6_major,2_diminished,3_major,1_minor
7,0.5,1.0,3.0,5,6,0.25,1.0,4.0,5,7,1.0,1.0,1.0,6,7,1.0,1.0,1.0,6,2_diminished,3_major,1_minor,6_major
5,1.0,2.0,1.0,11,7,0.5,2.0,3.0,11,2,1.0,2.0,1.0,12,2,0.5,2.0,3.0,12,5_major,1_minor,5_major,1_minor
7,0.5,2.0,3.0,11,2,1.0,2.0,1.0,12,2,0.5,2.0,3.0,12,7,1.0,2.0,1.0,13,1_minor,5_major,1_minor,5_major
,0.5,1.0,3.0,7,,0.25,1.0,4.0,7,,1.0,2.0,1.0,8,6,0.5,1.0,3.0,8,6_major,5_major,1_minor,6_major
,0.25,1.0,4.0,7,,1.0,2.0,1.0,8,6,0.5,1.0,3.0,8,,0.25,1.0,4.0,8,5_major,1_minor,6_major,5_major
3,0.25,2.0,4.0,6,1,0.25,1.0,2.0,7,7,0.5,1.0,3.0,7,2,0.25,2.0,4.0,7,1_minor,2_diminished,5_major,1_minor
1,0.25,1.0,2.0,7,7,0.5,1.0,3.0,7,2,0.25,2.0,4.0,7,7,0.25,1.0,2.0,8,2_diminished,5_major,1_minor,2_diminished
4,0.25,2.0,2.0,14,4,0.25,1.0,4.0,14,3,1.0,1.0,1.0,15,2,0.25,2.0,2.0,15,1_major,4_major,6_minor,1_major
