note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
1,0.25,1.0,2.0,10,7,0.5,1.0,3.0,10,1,0.25,1.0,4.0,10,2,1.0,1.0,1.0,11,3_major,6_major,3_major,1_minor
7,0.5,1.0,3.0,10,1,0.25,1.0,4.0,10,2,1.0,1.0,1.0,11,6,0.25,0.5,2.0,11,6_major,3_major,1_minor,3_major
6,1.0,2.0,1.0,19,6,1.0,2.0,1.0,19,6,1.0,2.0,1.0,20,6,1.0,2.0,1.0,20,1_minor,7_major,1_minor,7_major
6,1.0,2.0,1.0,19,6,1.0,2.0,1.0,20,6,1.0,2.0,1.0,20,6,1.0,2.0,1.0,21,7_major,1_minor,7_major,1_minor
2,0.5,2.0,3.0,12,5,0.25,1.0,2.0,13,4,0.5,1.0,3.0,13,3,0.25,2.0,4.0,13,1_major,4_major,5_major,1_major
5,0.25,1.0,2.0,13,4,0.5,1.0,3.0,13,3,0.25,2.0,4.0,13,2,1.0,1.0,1.0,14,4_major,5_major,1_major,4_major
7,0.5,1.0,3.0,9,6,1.0,1.0,1.0,10,6,1.0,1.0,1.0,10,6,1.0,1.0,1.0,10,3_major,1_minor,3_major,6_major
6,1.0,1.0,1.0,10,6,1.0,1.0,1.0,10,6,1.0,1.0,1.0,10,6,0.25,1.0,4.0,10,1_minor,3_major,6_major,3_major
2,0.25,1.0,2.0,7,3,0.5,1.0,3.0,7,7,0.25,1.0,4.0,7,1,1.0,1.0,1.0,8,1_minor,2_diminished,6_major,5_major
3,0.5,1.0,3.0,7,7,0.25,1.0,4.0,7,1,1.0,1.0,1.0,8,7,0.25,1.0,2.0,8,2_diminished,6_major,5_major,1_minor
1,1.0,1.0,1.0,8,3,0.25,1.0,4.0,8,3,1.0,1.0,1.0,9,3,0.25,1.0,2.0,9,1_minor,3_major,5_major,1_minor
3,0.25,1.0,4.0,8,3,1.0,1.0,1.0,9,3,0.25,1.0,2.0,9,2,0.5,1.0,3.0,9,3_major,5_major,1_minor,7_major
2,0.125,0.5,1.5,7,3,0.25,1.0,2.0,7,2,0.5,2.0,3.0,7,1,1.0,1.0,1.0,8,4_major,1_major,5_major,6_minor
3,0.25,1.0,2.0,7,2,0.5,2.0,3.0,7,1,1.0,1.0,1.0,8,2,0.25,0.5,2.0,8,1_major,5_major,6_minor,1_major
