note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
5,0.25,2.0,2.0,11,2,0.25,1.0,4.0,11,3,1.0,1.0,1.0,12,1,0.25,2.0,2.0,12,6_major,5_major,1_minor,6_major
2,0.25,1.0,4.0,11,3,1.0,1.0,1.0,12,1,0.25,2.0,2.0,12,2,0.25,1.0,4.0,12,5_major,1_minor,6_major,5_major
2,0.5,1.0,3.0,9,3,0.25,2.0,4.0,9,1,1.0,1.0,1.0,10,7,0.5,1.0,3.0,10,7_diminished,1_major,4_major,7_diminished
3,0.25,2.0,4.0,9,1,1.0,1.0,1.0,10,7,0.5,1.0,3.0,10,5,0.25,2.0,4.0,10,1_major,4_major,7_diminished,1_major
1,0.25,1.0,2.0,3,2,0.5,1.0,3.0,3,3,0.25,1.0,4.0,3,4,1.0,1.0,1.0,4,6_minor,3_minor,5_major,1_major
2,0.5,1.0,3.0,3,3,0.25,1.0,4.0,3,4,1.0,1.0,1.0,4,2,0.25,1.0,2.0,4,3_minor,5_major,1_major,6_minor
1,1.0,1.0,1.0,13,1,0.25,1.0,2.0,13,7,0.5,1.0,3.0,13,7,0.25,1.0,4.0,13,1_minor,5_minor,6_major,2_diminished
1,0.25,1.0,2.0,13,7,0.5,1.0,3.0,13,7,0.25,1.0,4.0,13,6,1.0,1.0,1.0,14,5_minor,6_major,2_diminished,1_minor
5,0.25,3.0,4.0,5,2,0.5,1.0,3.0,6,5,0.25,3.0,4.0,6,1,0.5,1.0,3.0,7,1_major,2_minor,1_major,2_minor
2,0.5,1.0,3.0,6,5,0.25,3.0,4.0,6,1,0.5,1.0,3.0,7,7,0.25,3.0,4.0,7,2_minor,1_major,2_minor,1_major
