note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
3,0.25,2.0,4.0,2,5,0.5,1.0,3.0,3,4,0.25,3.0,4.0,3,6,0.5,1.0,3.0,4,1_minor,5_major,1_minor,5_major
5,0.5,1.0,3.0,3,4,0.25,3.0,4.0,3,6,0.5,1.0,3.0,4,,0.25,3.0,4.0,4,5_major,1_minor,5_major,1_minor
3,1.0,2.0,1.0,25,5,0.5,1.0,3.0,25,4,1.0,2.0,1.0,26,3,0.5,1.0,3.0,26,1_major,5_major,1_major,5_major
5,0.5,1.0,3.0,25,4,1.0,2.0,1.0,26,3,0.5,1.0,3.0,26,1,1.0,2.0,1.0,27,5_major,1_major,5_major,1_major
2,0.5,1.0,3.0,3,2,0.25,2.0,4.0,3,3,1.0,1.0,1.0,4,3,1.0,1.0,1.0,4,7_diminished,1_major,4_major,7_diminished
2,0.25,2.0,4.0,3,3,1.0,1.0,1.0,4,3,1.0,1.0,1.0,4,2,0.25,2.0,4.0,4,1_major,4_major,7_diminished,1_major
7,0.25,1.0,2.0,16,6,0.5,1.0,3.0,16,6,0.25,2.0,4.0,16,6,0.25,1.0,2.0,17,1_minor,7_major,4_major,1_minor
6,0.5,1.0,3.0,16,6,0.25,2.0,4.0,16,6,0.25,1.0,2.0,17,7,0.5,1.0,3.0,17,7_major,4_major,1_minor,7_major
7,0.25,1.0,4.0,5,1,1.0,1.0,1.0,6,1,1.0,1.0,1.0,6,1,1.0,1.0,1.0,6,4_major,3_major,6_minor,3_major
1,1.0,1.0,1.0,6,1,1.0,1.0,1.0,6,1,1.0,1.0,1.0,6,5,0.25,1.0,2.0,8,3_major,6_minor,3_major,6_minor
7,0.5,1.0,3.0,4,3,0.25,2.0,4.0,4,1,0.25,1.0,2.0,5,7,0.5,1.0,3.0,5,5_major,1_minor,2_diminished,5_major
3,0.25,2.0,4.0,4,1,0.25,1.0,2.0,5,7,0.5,1.0,3.0,5,2,0.25,1.0,4.0,5,1_minor,2_diminished,5_major,6_major
3,0.25,2.0,4.0,8,3,0.25,1.0,2.0,9,2,0.5,1.0,3.0,9,1,0.25,1.0,4.0,9,1_major,5_major,6_minor,5_major
3,0.25,1.0,2.0,9,2,0.5,1.0,3.0,9,1,0.25,1.0,4.0,9,3,1.0,1.0,1.0,10,5_major,6_minor,5_major,1_major
1,1.0,1.0,1.0,4,2,0.25,1.0,2.0,4,1,0.5,1.0,3.0,4,1,0.25,2.0,4.0,4,1_major,6_minor,4_major,1_major
2,0.25,1.0,2.0,4,1,0.5,1.0,3.0,4,1,0.25,2.0,4.0,4,5,0.25,1.0,2.0,5,6_minor,4_major,1_major,6_minor
