note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
3,0.25,1.0,2.0,3,5,0.5,0.5,3.0,3,4,0.125,0.5,3.5,3,3,0.25,1.0,4.0,3,5_major,1_minor,6_major,7_major
5,0.5,0.5,3.0,3,4,0.125,0.5,3.5,3,3,0.25,1.0,4.0,3,2,1.0,1.0,1.0,4,1_minor,6_major,7_major,1_minor
3,0.25,1.0,2.0,22,2,0.5,1.0,3.0,22,7,0.25,1.0,4.0,22,1,1.0,1.0,1.0,23,6_minor,3_major,4_major,3_major
2,0.5,1.0,3.0,22,7,0.25,1.0,4.0,22,1,1.0,1.0,1.0,23,1,1.0,1.0,1.0,23,3_major,4_major,3_major,6_minor
