note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
2,0.5,1.0,3.0,4,2,0.25,1.0,4.0,4,1,1.0,2.0,1.0,5,6,0.5,1.0,3.0,5,2_minor,5_major,6_minor,2_minor
2,0.25,1.0,4.0,4,1,1.0,2.0,1.0,5,6,0.5,1.0,3.0,5,6,0.25,1.0,4.0,5,5_major,6_minor,2_minor,5_major
1,1.0,2.0,1.0,9,2,0.5,1.0,3.0,9,3,1.0,2.0,1.0,10,2,0.5,1.0,3.0,10,1_major,5_major,1_major,5_major
2,0.5,1.0,3.0,9,3,1.0,2.0,1.0,10,2,0.5,1.0,3.0,10,1,1.0,2.0,1.0,11,5_major,1_major,5_major,1_major
3,0.25,1.0,4.0,7,4,1.0,1.0,1.0,8,2,0.25,1.0,2.0,8,1,0.5,0.5,3.0,8,7_major,1_major,6_minor,4_major
4,1.0,1.0,1.0,8,2,0.25,1.0,2.0,8,1,0.5,0.5,3.0,8,2,0.125,0.5,3.5,8,1_major,6_minor,4_major,1_major
6,1.0,1.0,1.0,1,7,0.25,1.0,2.0,1,1,0.5,1.0,3.0,1,7,0.25,1.0,4.0,1,1_minor,5_major,1_minor,5_major
7,0.25,1.0,2.0,1,1,0.5,1.0,3.0,1,7,0.25,1.0,4.0,1,6,1.0,1.0,1.0,2,5_major,1_minor,5_major,1_minor
3,0.25,1.0,4.0,9,1,1.0,1.0,1.0,10,1,0.25,1.0,2.0,10,4,0.5,1.0,3.0,10,4_major,1_major,6_minor,3_minor
1,1.0,1.0,1.0,10,1,0.25,1.0,2.0,10,4,0.5,1.0,3.0,10,4,0.25,1.0,4.0,10,1_major,6_minor,3_minor,4_major
2,0.5,1.0,3.0,7,,0.25,1.0,4.0,7,2,1.0,1.0,1.0,8,2,1.0,1.0,1.0,8,1_major,4_major,1_major,6_minor
,0.25,1.0,4.0,7,2,1.0,1.0,1.0,8,2,1.0,1.0,1.0,8,2,1.0,3.0,1.0,8,4_major,1_major,6_minor,1_major
5,0.5,1.0,3.0,6,2,0.25,1.0,4.0,6,3,1.0,1.0,1.0,7,2,0.25,1.0,2.0,7,1_major,4_major,1_major,6_minor
2,0.25,1.0,4.0,6,3,1.0,1.0,1.0,7,2,0.25,1.0,2.0,7,1,0.5,1.0,3.0,7,4_major,1_major,6_minor,1_major
2,1.0,1.0,1.0,11,7,0.25,1.0,2.0,11,2,0.5,1.0,3.0,11,6,0.25,1.0,4.0,11,5_major,1_minor,5_minor,4_minor
7,0.25,1.0,2.0,11,2,0.5,1.0,3.0,11,6,0.25,1.0,4.0,11,5,1.0,1.0,1.0,12,1_minor,5_minor,4_minor,5_major
2,0.25,1.0,4.0,7,1,1.0,0.75,1.0,8,2,0.0625,0.25,1.75,8,2,0.25,1.0,2.0,8,5_major,1_major,7_diminished,1_major
1,1.0,0.75,1.0,8,2,0.0625,0.25,1.75,8,2,0.25,1.0,2.0,8,1,0.5,1.0,3.0,8,1_major,7_diminished,1_major,4_major
6,1.0,2.0,1.0,22,6,1.0,1.0,1.0,22,5,1.0,2.0,1.0,23,3,0.5,1.0,3.0,23,1_major,5_major,1_major,5_major
6,1.0,1.0,1.0,22,5,1.0,2.0,1.0,23,3,0.5,1.0,3.0,23,4,1.0,2.0,1.0,24,5_major,1_major,5_major,1_major
1,0.25,1.0,4.0,1,2,1.0,1.0,1.0,2,2,0.25,2.0,2.0,2,1,0.25,0.5,4.0,2,2_minor,1_major,6_minor,2_minor
2,1.0,1.0,1.0,2,2,0.25,2.0,2.0,2,1,0.25,0.5,4.0,2,2,0.125,0.5,4.5,2,1_major,6_minor,2_minor,5_major
3,0.5,3.0,3.0,3,3,0.25,1.0,2.0,4,2,0.5,3.0,3.0,4,1,1.0,1.0,1.0,5,1_minor,5_major,1_minor,5_major
3,0.25,1.0,2.0,4,2,0.5,3.0,3.0,4,1,1.0,1.0,1.0,5,3,0.5,1.0,3.0,6,5_major,1_minor,5_major,1_minor
2,1.0,1.0,1.0,33,2,1.0,1.0,1.0,33,3,0.5,1.0,3.0,33,4,1.0,1.0,1.0,34,1_major,6_minor,4_major,1_major
2,1.0,1.0,1.0,33,3,0.5,1.0,3.0,33,4,1.0,1.0,1.0,34,3,0.5,1.0,2.0,34,6_minor,4_major,1_major,6_minor
1,0.25,3.0,4.0,1,6,0.5,1.0,3.0,2,6,0.5,3.0,3.0,2,5,0.5,1.0,3.0,3,1_minor,7_diminished,1_minor,7_diminished
6,0.5,1.0,3.0,2,6,0.5,3.0,3.0,2,5,0.5,1.0,3.0,3,3,0.25,3.0,4.0,3,7_diminished,1_minor,7_diminished,1_minor
5,0.5,1.0,3.0,11,5,0.25,1.0,4.0,11,6,1.0,1.0,1.0,12,7,0.25,1.0,2.0,12,6_minor,3_minor,1_major,5_major
5,0.25,1.0,4.0,11,6,1.0,1.0,1.0,12,7,0.25,1.0,2.0,12,1,0.5,1.0,3.0,12,3_minor,1_major,5_major,6_minor
