note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
1,1.0,1.0,1.0,27,1,1.0,1.0,1.0,27,1,1.0,1.0,1.0,27,7,0.25,1.0,4.0,27,1_major,5_major,6_minor,3_minor
1,1.0,1.0,1.0,27,1,1.0,1.0,1.0,27,7,0.25,1.0,4.0,27,1,1.0,1.0,1.0,28,5_major,6_minor,3_minor,1_major
5,0.5,1.0,3.0,1,4,0.25,0.5,4.0,1,4,0.125,0.5,4.5,1,3,1.0,1.0,1.0,2,6_minor,1_major,4_major,6_minor
3,1.0,1.0,1.0,2,3,0.25,0.5,4.0,2,4,0.125,0.5,4.5,2,5,1.0,1.0,1.0,3,6_minor,1_major,4_major,6_minor
3,1.0,1.0,1.0,5,4,0.5,1.0,2.0,5,6,0.5,1.0,3.0,5,7,1.0,1.0,1.0,6,1_minor,4_minor,5_minor,1_minor
4,0.5,1.0,2.0,5,6,0.5,1.0,3.0,5,7,1.0,1.0,1.0,6,6,0.5,1.0,2.0,6,4_minor,5_minor,1_minor,4_minor
5,0.5,1.0,3.0,15,4,0.25,1.0,4.0,15,3,1.0,1.0,1.0,16,1,0.25,1.0,2.0,16,1_major,6_minor,1_major,5_major
4,0.25,1.0,4.0,15,3,1.0,1.0,1.0,16,1,0.25,1.0,2.0,16,5,0.5,1.0,3.0,16,6_minor,1_major,5_major,1_major
2,0.25,1.0,4.0,3,3,1.0,2.0,1.0,4,5,0.5,1.0,3.0,4,3,0.25,1.0,4.0,4,1_minor,3_major,5_major,1_minor
3,1.0,2.0,1.0,4,5,0.5,1.0,3.0,4,3,0.25,1.0,4.0,4,2,1.0,2.0,1.0,5,3_major,5_major,1_minor,3_major
2,1.0,2.0,1.0,9,1,0.5,1.0,3.0,9,1,0.5,1.0,3.0,9,1,1.0,2.0,1.0,10,1_major,4_major,2_minor,1_major
1,0.5,1.0,3.0,9,1,0.5,1.0,3.0,9,1,1.0,2.0,1.0,10,7,0.5,1.0,3.0,10,4_major,2_minor,1_major,4_major
1,0.25,2.0,4.0,0,1,0.25,1.0,2.0,1,2,0.5,1.0,3.0,1,1,0.25,1.0,4.0,1,6_minor,1_major,4_major,7_major
1,0.25,1.0,2.0,1,2,0.5,1.0,3.0,1,1,0.25,1.0,4.0,1,4,1.0,1.0,1.0,2,1_major,4_major,7_major,6_minor
3,0.25,1.0,2.0,2,4,0.5,1.0,3.0,2,2,0.25,2.0,4.0,2,1,1.0,1.0,1.0,3,6_minor,5_major,1_major,6_minor
