note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
7,0.25,1.0,4.0,3,1,1.0,2.0,1.0,4,2,0.5,1.0,3.0,4,2,0.25,1.0,4.0,4,6_major,1_minor,5_major,6_major
1,1.0,2.0,1.0,4,2,0.5,1.0,3.0,4,2,0.25,1.0,4.0,4,3,1.0,2.0,1.0,5,1_minor,5_major,6_major,1_minor
3,1.0,3.0,1.0,4,,0.25,1.0,2.0,5,5,0.5,1.0,3.0,5,3,0.25,1.0,4.0,5,1_minor,5_major,1_minor,2_minor
,0.25,1.0,2.0,5,5,0.5,1.0,3.0,5,3,0.25,1.0,4.0,5,2,1.0,1.0,1.0,6,5_major,1_minor,2_minor,1_minor
3,1.0,1.0,1.0,10,2,0.25,1.0,2.0,10,1,0.5,1.0,3.0,10,3,0.25,1.0,4.0,10,1_minor,5_major,1_minor,4_minor
2,0.25,1.0,2.0,10,1,0.5,1.0,3.0,10,3,0.25,1.0,4.0,10,4,1.0,1.0,1.0,11,5_major,1_minor,4_minor,1_minor
6,1.0,1.0,1.0,12,,0.25,1.0,2.0,12,6,0.5,1.0,3.0,12,6,0.5,1.0,3.0,12,1_minor,5_minor,6_major,2_diminished
,0.25,1.0,2.0,12,6,0.5,1.0,3.0,12,6,0.5,1.0,3.0,12,1,1.0,1.0,1.0,13,5_minor,6_major,2_diminished,1_minor
7,0.25,0.5,4.0,3,,0.125,0.5,4.5,3,2,1.0,1.0,1.0,4,4,0.25,1.0,2.0,4,1_minor,2_minor,5_major,1_minor
,0.125,0.5,4.5,3,2,1.0,1.0,1.0,4,4,0.25,1.0,2.0,4,6,0.5,1.0,3.0,4,2_minor,5_major,1_minor,2_minor
6,0.25,2.0,4.0,7,6,0.25,1.0,2.0,8,7,0.5,1.0,3.0,8,6,0.25,1.0,4.0,8,1_minor,3_major,5_minor,6_minor
6,0.25,1.0,2.0,8,7,0.5,1.0,3.0,8,6,0.25,1.0,4.0,8,5,1.0,1.0,1.0,9,3_major,5_minor,6_minor,1_minor
5,0.5,2.0,3.0,15,1,1.0,2.0,1.0,16,2,1.0,1.0,1.0,17,2,1.0,2.0,1.0,17,1_major,6_minor,1_major,6_minor
1,1.0,2.0,1.0,16,2,1.0,1.0,1.0,17,2,1.0,2.0,1.0,17,3,1.0,1.0,1.0,18,6_minor,1_major,6_minor,1_major
7,1.0,3.0,1.0,19,7,0.25,1.0,4.0,19,1,1.0,3.0,1.0,20,3,0.25,1.0,4.0,20,1_major,2_minor,1_major,2_minor
7,0.25,1.0,4.0,19,1,1.0,3.0,1.0,20,3,0.25,1.0,4.0,20,3,1.0,3.0,1.0,21,2_minor,1_major,2_minor,1_major
5,0.25,1.0,4.0,8,1,1.0,1.0,1.0,9,2,0.25,1.0,2.0,9,3,0.5,1.0,3.0,9,6_minor,1_major,4_major,5_major
1,1.0,1.0,1.0,9,2,0.25,1.0,2.0,9,3,0.5,1.0,3.0,9,5,0.25,1.0,4.0,9,1_major,4_major,5_major,6_minor
2,0.5,1.0,3.0,4,2,0.5,1.0,3.0,4,2,1.0,2.0,1.0,5,2,0.5,1.0,3.0,5,4_major,2_minor,3_minor,4_major
2,0.5,1.0,3.0,4,2,1.0,2.0,1.0,5,2,0.5,1.0,3.0,5,2,0.5,1.0,3.0,5,2_minor,3_minor,4_major,2_minor
5,1.0,2.0,1.0,13,5,0.5,1.0,3.0,13,4,1.0,2.0,1.0,14,3,0.5,1.0,3.0,14,1_major,6_minor,1_major,6_minor
5,0.5,1.0,3.0,13,4,1.0,2.0,1.0,14,3,0.5,1.0,3.0,14,3,1.0,2.0,1.0,15,6_minor,1_major,6_minor,1_major
5,1.0,2.0,1.0,14,6,0.5,1.0,3.0,14,5,0.25,1.0,4.0,14,4,1.0,2.0,1.0,15,1_minor,6_major,7_major,1_minor
6,0.5,1.0,3.0,14,5,0.25,1.0,4.0,14,4,1.0,2.0,1.0,15,3,0.5,1.0,3.0,15,6_major,7_major,1_minor,6_major
