note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
4,0.25,3.0,4.0,3,6,0.5,1.0,3.0,4,,0.25,3.0,4.0,4,6,1.0,1.0,1.0,5,1_minor,5_major,1_minor,5_major
6,0.5,1.0,3.0,4,,0.25,3.0,4.0,4,6,1.0,1.0,1.0,5,3,0.25,3.0,4.0,5,5_major,1_minor,5_major,1_minor
2,0.125,0.5,1.5,10,3,0.25,2.0,2.0,10,3,0.25,1.0,4.0,10,4,1.0,1.0,1.0,11,4_major,1_major,4_major,6_minor
3,0.25,2.0,2.0,10,3,0.25,1.0,4.0,10,4,1.0,1.0,1.0,11,3,0.25,2.0,2.0,11,1_major,4_major,6_minor,1_major
6,0.25,3.0,4.0,3,3,0.5,1.0,3.0,4,3,0.25,3.0,4.0,4,3,0.5,1.0,3.0,5,1_minor,2_diminished,1_minor,2_diminished
3,0.5,1.0,3.0,4,3,0.25,3.0,4.0,4,3,0.5,1.0,3.0,5,2,0.25,0.5,4.0,5,2_diminished,1_minor,2_diminished,1_minor
2,1.0,1.0,1.0,17,2,1.0,2.0,1.0,17,3,1.0,1.0,1.0,18,3,1.0,2.0,1.0,18,1_major,6_minor,1_major,6_minor
2,1.0,2.0,1.0,17,3,1.0,1.0,1.0,18,3,1.0,2.0,1.0,18,1,1.0,1.0,1.0,19,6_minor,1_major,6_minor,1_major
2,1.0,1.0,1.0,10,2,1.0,2.0,1.0,10,1,1.0,1.0,1.0,11,7,0.5,2.0,2.0,11,1_major,4_major,1_major,4_major
2,1.0,2.0,1.0,10,1,1.0,1.0,1.0,11,7,0.5,2.0,2.0,11,5,1.0,1.0,1.0,12,4_major,1_major,4_major,1_major
1,1.0,0.5,1.0,8,7,0.125,0.5,1.5,8,6,0.25,1.0,2.0,8,5,0.5,1.0,3.0,8,1_minor,2_minor,1_minor,1_major
7,0.125,0.5,1.5,8,6,0.25,1.0,2.0,8,5,0.5,1.0,3.0,8,5,0.25,1.0,4.0,8,2_minor,1_minor,1_major,4_minor
2,0.5,1.0,3.0,5,7,0.25,2.5,4.0,5,6,0.125,0.5,2.5,6,6,0.5,1.0,3.0,6,5_major,1_minor,4_major,5_major
7,0.25,2.5,4.0,5,6,0.125,0.5,2.5,6,6,0.5,1.0,3.0,6,5,0.25,3.0,4.0,6,1_minor,4_major,5_major,1_minor
7,1.0,1.0,1.0,5,7,1.0,3.0,1.0,5,2,0.5,1.0,3.0,6,7,0.25,2.5,4.0,6,5_major,1_minor,5_major,1_minor
6,0.5,1.0,3.0,7,6,0.5,3.0,3.0,7,1,0.5,1.0,3.0,8,2,0.25,1.5,4.0,8,5_major,1_minor,5_major,1_minor
1,1.0,3.0,1.0,3,5,0.25,1.0,4.0,3,6,1.0,7.0,1.0,4,6,0.25,1.0,4.0,5,1_minor,5_minor,1_minor,5_minor
5,0.25,1.0,4.0,3,6,1.0,7.0,1.0,4,6,0.25,1.0,4.0,5,1,1.0,3.0,1.0,6,5_minor,1_minor,5_minor,1_minor
