note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
1,0.25,0.5,2.0,10,7,0.125,0.5,2.5,10,7,0.5,1.0,3.0,10,7,0.5,1.0,3.0,10,4_minor,1_minor,2_diminished,5_major
7,0.125,0.5,2.5,10,7,0.5,1.0,3.0,10,7,0.5,1.0,3.0,10,6,1.0,1.0,1.0,11,1_minor,2_diminished,5_major,1_minor
5,1.0,1.0,1.0,7,5,1.0,2.0,1.0,7,5,1.0,1.0,1.0,8,5,1.0,2.0,1.0,8,1_major,6_minor,1_major,6_minor
5,1.0,2.0,1.0,7,5,1.0,1.0,1.0,8,5,1.0,2.0,1.0,8,5,1.0,1.0,1.0,9,6_minor,1_major,6_minor,1_major
3,0.25,0.5,4.0,6,4,0.125,0.5,4.5,6,2,1.0,2.0,1.0,7,1,0.5,1.0,3.0,7,1_minor,6_major,1_minor,5_major
4,0.125,0.5,4.5,6,2,1.0,2.0,1.0,7,1,0.5,1.0,3.0,7,3,0.25,3.0,4.0,7,6_major,1_minor,5_major,1_minor
3,0.25,2.0,4.0,4,3,0.25,1.0,2.0,5,2,0.5,1.0,3.0,5,1,0.25,1.0,4.0,5,1_major,5_major,6_minor,5_major
3,0.25,1.0,2.0,5,2,0.5,1.0,3.0,5,1,0.25,1.0,4.0,5,3,1.0,1.0,1.0,6,5_major,6_minor,5_major,1_major
3,0.5,1.0,3.0,2,5,0.25,1.0,4.0,2,3,1.0,0.5,1.0,3,,0.125,0.5,1.5,3,3_major,7_major,1_minor,2_minor
5,0.25,1.0,4.0,2,3,1.0,0.5,1.0,3,,0.125,0.5,1.5,3,5,0.25,1.0,2.0,3,7_major,1_minor,2_minor,1_minor
