note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
1,0.5,0.5,3.0,20,2,0.125,0.5,3.5,20,3,0.25,6.0,4.0,20,1,0.5,1.0,3.0,22,4_major,7_diminished,1_minor,4_major
2,0.125,0.5,3.5,20,3,0.25,6.0,4.0,20,1,0.5,1.0,3.0,22,2,0.25,3.0,4.0,22,7_diminished,1_minor,4_major,1_minor
5,0.5,1.0,3.0,13,5,0.25,1.0,4.0,13,4,1.0,1.0,1.0,14,3,0.25,1.0,2.0,14,5_major,3_minor,6_minor,2_minor
5,0.25,1.0,4.0,13,4,1.0,1.0,1.0,14,3,0.25,1.0,2.0,14,2,0.5,1.0,3.0,14,3_minor,6_minor,2_minor,5_major
1,0.25,1.0,2.0,6,2,0.5,1.0,3.0,6,4,0.25,1.0,4.0,6,3,1.0,1.0,1.0,7,2_minor,5_major,6_minor,1_major
2,0.5,1.0,3.0,6,4,0.25,1.0,4.0,6,3,1.0,1.0,1.0,7,5,0.25,1.0,2.0,7,5_major,6_minor,1_major,2_minor
1,0.25,1.0,4.0,6,7,1.0,1.0,1.0,7,6,0.25,1.0,2.0,7,5,0.5,1.0,3.0,7,5_major,1_minor,4_minor,6_major
7,1.0,1.0,1.0,7,6,0.25,1.0,2.0,7,5,0.5,1.0,3.0,7,3,0.25,0.5,4.0,7,1_minor,4_minor,6_major,5_major
3,0.5,1.0,3.0,8,3,0.25,2.0,4.0,8,5,0.25,1.0,2.0,9,2,0.5,1.0,3.0,9,3_minor,1_major,4_major,3_minor
3,0.25,2.0,4.0,8,5,0.25,1.0,2.0,9,2,0.5,1.0,3.0,9,3,0.25,0.5,4.0,9,1_major,4_major,3_minor,1_major
2,1.0,1.0,1.0,4,1,0.5,1.0,3.0,4,2,0.25,2.0,4.0,4,3,0.25,1.0,2.0,5,6_minor,5_major,1_major,6_minor
1,0.5,1.0,3.0,4,2,0.25,2.0,4.0,4,3,0.25,1.0,2.0,5,4,0.5,1.0,3.0,5,5_major,1_major,6_minor,5_major
4,0.5,0.5,2.0,22,3,0.25,0.5,2.5,22,2,0.5,1.0,3.0,22,2,1.0,1.0,1.0,23,6_minor,3_major,6_minor,1_major
3,0.25,0.5,2.5,22,2,0.5,1.0,3.0,22,2,1.0,1.0,1.0,23,2,1.0,2.0,1.0,23,3_major,6_minor,1_major,6_minor
