note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
5,0.5,3.0,3.0,7,1,0.5,1.0,3.0,8,3,0.25,3.0,4.0,8,1,0.5,1.0,3.0,9,1_major,5_major,1_major,5_major
1,0.5,1.0,3.0,8,3,0.25,3.0,4.0,8,1,0.5,1.0,3.0,9,4,0.25,3.0,4.0,9,5_major,1_major,5_major,1_major
3,0.25,1.0,2.0,2,1,0.5,1.0,3.0,2,3,0.25,1.0,4.0,2,3,1.0,1.0,1.0,3,5_major,1_minor,7_major,1_minor
1,0.5,1.0,3.0,2,3,0.25,1.0,4.0,2,3,1.0,1.0,1.0,3,3,0.25,1.0,2.0,3,1_minor,7_major,1_minor,5_major
2,1.0,1.0,1.0,2,3,0.25,1.0,2.0,2,4,0.5,0.5,3.0,2,3,0.125,0.5,3.5,2,1_major,6_minor,3_minor,1_major
3,0.25,1.0,2.0,2,4,0.5,0.5,3.0,2,3,0.125,0.5,3.5,2,2,0.25,1.0,4.0,2,6_minor,3_minor,1_major,5_major
3,1.0,1.0,1.0,13,4,0.5,1.0,3.0,13,4,0.5,1.0,3.0,13,3,1.0,1.0,1.0,14,4_minor,2_diminished,5_major,1_minor
4,0.5,1.0,3.0,13,4,0.5,1.0,3.0,13,3,1.0,1.0,1.0,14,2,0.25,1.0,2.0,14,2_diminished,5_major,1_minor,4_minor
