note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
3,1.0,2.0,1.0,18,1,0.5,1.0,3.0,18,1,0.5,1.0,3.0,18,6,1.0,2.0,1.0,19,3_minor,4_major,2_minor,3_minor
1,0.5,1.0,3.0,18,1,0.5,1.0,3.0,18,6,1.0,2.0,1.0,19,7,0.5,1.0,3.0,19,4_major,2_minor,3_minor,4_major
4,0.25,3.0,4.0,3,1,0.5,1.0,3.0,4,5,0.25,3.0,4.0,4,2,0.5,1.0,3.0,5,1_major,5_major,1_major,5_major
1,0.5,1.0,3.0,4,5,0.25,3.0,4.0,4,2,0.5,1.0,3.0,5,2,0.25,3.0,4.0,5,5_major,1_major,5_major,1_major
1,1.0,3.0,1.0,7,3,0.25,1.0,4.0,7,6,1.0,7.0,1.0,8,3,0.25,1.0,4.0,9,5_minor,1_minor,5_minor,1_minor
3,0.25,1.0,4.0,7,6,1.0,7.0,1.0,8,3,0.25,1.0,4.0,9,4,1.0,3.0,1.0,10,1_minor,5_minor,1_minor,5_minor
