3,1.0,2.0,1.0,16,1,1.0,1.0,1.0,17,7,0.5,2.0,2.0,17,6,1.0,1.0,1.0,18,4_major,1_major,4_major,1_major
5,1.0,1.0,1.0,4,,0.25,1.0,2.0,4,5,0.5,1.0,3.0,4,1,0.25,1.0,4.0,4,1_major,5_major,1_major,6_minor
,0.25,1.0,2.0,4,5,0.5,1.0,3.0,4,1,0.25,1.0,4.0,4,1,1.0,1.0,1.0,5,5_major,1_major,6_minor,1_major
3,0.5,1.0,3.0,18,5,0.25,1.0,4.0,18,5,1.0,1.5,1.0,19,3,0.125,0.5,2.5,19,1_major,6_minor,1_major,5_major
5,0.25,1.0,4.0,18,5,1.0,1.5,1.0,19,3,0.125,0.5,2.5,19,3,0.5,1.5,3.0,19,6_minor,1_major,5_major,1_major
3,0.5,2.0,3.0,27,7,1.0,1.0,1.0,28,6,0.25,1.0,2.0,28,7,0.5,2.0,3.0,28,5_minor,1_minor,2_minor,5_minor
7,1.0,1.0,1.0,28,6,0.25,1.0,2.0,28,7,0.5,2.0,3.0,28,6,1.0,1.0,1.0,29,1_minor,2_minor,5_minor,1_minor
6,0.5,1.0,3.0,13,6,0.5,1.0,3.0,13,4,1.0,1.0,1.0,14,3,0.25,1.0,2.0,14,1_major,5_major,1_major,5_major
6,0.5,1.0,3.0,13,4,1.0,1.0,1.0,14,3,0.25,1.0,2.0,14,2,0.5,1.0,3.0,14,5_major,1_major,5_major,1_major
6,1.0,1.0,1.0,5,6,0.25,1.0,2.0,5,5,0.5,1.0,3.0,5,4,0.25,1.0,4.0,5,5_major,1_major,7_diminished,1_major
6,0.25,1.0,2.0,5,5,0.5,1.0,3.0,5,4,0.25,1.0,4.0,5,3,1.0,1.0,1.0,6,1_major,7_diminished,1_major,5_major
6,0.5,2.0,3.0,2,3,0.25,1.0,2.0,3,,0.5,1.0,3.0,3,,0.25,2.0,4.0,3,1_minor,3_major,4_minor,1_minor
3,0.25,1.0,2.0,3,,0.5,1.0,3.0,3,,0.25,2.0,4.0,3,6,1.0,1.0,1.0,4,3_major,4_minor,1_minor,3_major
7,0.25,1.0,2.0,9,6,0.5,1.0,3.0,9,6,0.25,1.0,4.0,9,7,1.0,1.0,1.0,10,1_minor,2_minor,1_minor,5_major
6,0.5,1.0,3.0,9,6,0.25,1.0,4.0,9,7,1.0,1.0,1.0,10,7,1.0,1.0,1.0,10,2_minor,1_minor,5_major,1_minor
"# key=a minor, timeSig=4/4, beatDuration=1.0"
note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
2,1.0,1.0,1.0,2,2,1.0,1.0,1.0,2,3,0.5,1.0,3.0,2,7,0.25,1.0,4.0,2,5_major,6_major,7_major,6_major
2,1.0,1.0,1.0,2,3,0.5,1.0,3.0,2,7,0.25,1.0,4.0,2,1,1.0,1.0,1.0,3,6_major,7_major,6_major,5_major
1,0.5,1.0,3.0,2,1,0.25,1.0,4.0,2,7,1.0,1.0,1.0,3,6,0.25,1.0,2.0,3,6_major,3_major,1_minor,3_major
1,0.25,1.0,4.0,2,7,1.0,1.0,1.0,3,6,0.25,1.0,2.0,3,2,0.5,1.0,3.0,3,3_major,1_minor,3_major,6_major
3,0.5,1.0,3.0,6,3,0.25,2.0,4.0,6,,0.25,0.5,2.0,7,3,0.125,0.5,2.5,7,5_major,1_minor,2_diminished,6_major
3,0.25,2.0,4.0,6,,0.25,0.5,2.0,7,3,0.125,0.5,2.5,7,6,0.5,0.5,3.0,7,1_minor,2_diminished,6_major,5_major
5,0.5,1.0,3.0,15,1,0.25,3.0,4.0,15,1,0.5,1.0,3.0,16,5,0.25,1.0,2.0,17,6_major,3_major,6_major,3_major
1,0.25,3.0,4.0,15,1,0.5,1.0,3.0,16,5,0.25,1.0,2.0,17,6,0.5,1.0,3.0,17,3_major,6_major,3_major,6_major
1,0.25,2.5,4.0,1,7,0.125,0.5,2.5,2,7,0.5,1.0,3.0,2,6,0.25,3.0,4.0,2,1_minor,4_major,5_major,1_minor
7,0.125,0.5,2.5,2,7,0.5,1.0,3.0,2,6,0.25,3.0,4.0,2,7,0.5,1.0,3.0,3,4_major,5_major,1_minor,5_major
5,0.25,3.0,4.0,10,3,0.5,1.0,3.0,11,3,0.25,3.0,4.0,11,2,0.5,1.0,3.0,12,1_minor,5_major,1_minor,5_major
3,0.5,1.0,3.0,11,3,0.25,3.0,4.0,11,2,0.5,1.0,3.0,12,1,0.25,3.0,4.0,12,5_major,1_minor,5_major,1_minor
4,1.0,3.0,1.0,10,1,0.25,1.0,4.0,10,5,1.0,3.0,1.0,11,7,0.25,1.0,4.0,11,5_minor,1_minor,5_minor,1_minor
1,0.25,1.0,4.0,10,5,1.0,3.0,1.0,11,7,0.25,1.0,4.0,11,1,1.0,3.0,1.0,12,1_minor,5_minor,1_minor,5_minor
