song_id,length,raw_acc,vit_acc,raw_f1,vit_f1,raw_harm_loss,vit_harm_loss,raw_jaccard,vit_jaccard,raw_unlikely,vit_unlikely,acc_gain,f1_gain,harm_gain,jaccard_gain,smooth_gain
song_355.csv,64,0.484375,0.40625,0.4092369169292246,0.3692307692307693,0.09754813036651488,0.1069813032204499,0.07692307692307687,0.23076923076923073,3,1,-0.078125,-0.040006147698455286,-0.00943317285393501,-0.15384615384615385,2
song_278.csv,46,0.34782608695652173,0.34782608695652173,0.298992673992674,0.336659494351802,0.0987063249522918,0.09001482186499636,0.2857142857142857,0.23076923076923073,2,0,0.0,0.037666820359127995,0.008691503087295438,0.05494505494505497,2
song_162.csv,36,0.5,0.3611111111111111,0.38078588078588077,0.3439991381167851,0.07904534498999312,0.06995259458479575,0.3076923076923077,0.23076923076923073,5,2,-0.1388888888888889,-0.03678674266909565,0.009092750405197372,0.07692307692307698,3
song_119.csv,60,0.35,0.38333333333333336,0.33841051572144004,0.29763450834879407,0.10636247538566969,0.11298901536252,0.1428571428571429,0.2857142857142857,2,1,0.03333333333333338,-0.04077600737264597,-0.00662653997685031,-0.1428571428571428,1
song_214.csv,38,0.39473684210526316,0.34210526315789475,0.24633307868601986,0.19481962481962484,0.10064598306637576,0.0922724917708316,0.36363636363636365,0.30000000000000004,2,0,-0.05263157894736842,-0.051513453866395026,0.008373491295544155,0.0636363636363636,2
song_260.csv,48,0.4166666666666667,0.3333333333333333,0.4272005772005772,0.3267857142857143,0.08444477015885384,0.09110326360641628,0.08333333333333337,0.08333333333333337,2,0,-0.08333333333333337,-0.1004148629148629,-0.006658493447562447,0.0,2
song_193.csv,30,0.3333333333333333,0.3,0.19573759573759572,0.1527644869750133,0.08171011121440794,0.09122536586584376,0.2857142857142857,0.25,4,0,-0.033333333333333326,-0.042973108762582424,-0.009515254651435823,0.0357142857142857,4
song_134.csv,20,0.35,0.25,0.3950617283950617,0.24612794612794608,0.0906903682482755,0.0947739356683671,0.33333333333333337,0.4444444444444444,1,0,-0.09999999999999998,-0.14893378226711562,-0.004083567420091597,-0.11111111111111105,1
song_328.csv,154,0.461038961038961,0.36363636363636365,0.4447543504778942,0.2877313087397121,0.09920768435862806,0.1013367920997431,0.0,0.0,9,2,-0.09740259740259738,-0.1570230417381821,-0.0021291077411150355,0.0,7
song_334.csv,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
