song_id,length,is_minor,raw_acc,vit_acc,raw_f1,vit_f1,raw_harm_loss,vit_harm_loss,raw_unlikely,vit_unlikely,acc_gain,f1_gain,harm_gain,smooth_gain
song_355.csv,64,0,0.921875,0.890625,0.8564778216952131,0.7833675985849898,0.09969631549783634,0.11242803847747404,1,1,-0.03125,-0.0731102231102233,-0.012731722979637705,0
song_278.csv,46,1,0.9130434782608695,0.9130434782608695,0.782167832167832,0.8539321789321789,0.1008379289227114,0.0735405163521817,0,0,0.0,0.07176434676434684,0.0272974125705297,0
song_162.csv,36,0,0.9444444444444444,1.0,0.8833333333333334,1.0,0.08251414076761499,0.0,0,0,0.05555555555555558,0.11666666666666659,0.08251414076761499,0
song_119.csv,60,1,0.9666666666666667,0.9333333333333333,0.9650793650793652,0.9283549783549785,0.12331507126145683,0.0853100659935502,1,0,-0.033333333333333326,-0.036724386724386715,0.03800500526790662,1
song_214.csv,38,0,0.9210526315789473,0.8947368421052632,0.7916666666666667,0.7791176470588236,0.0970171206128111,0.10322331970625694,0,0,-0.02631578947368418,-0.01254901960784316,-0.00620619909344583,0
song_260.csv,48,1,0.9791666666666666,0.9583333333333334,0.9,0.8813131313131314,0.11888129966095384,0.09543436230839443,1,1,-0.02083333333333326,-0.01868686868686864,0.023446937352559413,0
song_193.csv,30,1,0.7666666666666667,0.8,0.5522516698987288,0.6253968253968255,0.08585882805135521,0.08085087587900693,0,0,0.033333333333333326,0.07314515549809675,0.0050079521723482845,0
song_134.csv,20,0,0.9,0.9,0.9071428571428571,0.9142857142857144,0.09410554827961348,0.03783818125410142,0,0,0.0,0.0071428571428572285,0.05626736702551206,0
song_328.csv,154,0,0.9090909090909091,0.9090909090909091,0.8780531061873954,0.8838240706661759,0.08362931370291546,0.0749757689870748,2,0,0.0,0.005770964478780449,0.008653544715840664,2
song_334.csv,4,1,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0
song_84.csv,54,0,0.9444444444444444,0.9259259259259259,0.8796825396825396,0.8710239651416122,0.11683490465762143,0.11170481015149072,1,0,-0.01851851851851849,-0.008658574540927444,0.0051300945061307085,1
song_98.csv,14,0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0
song_18.csv,44,0,0.9090909090909091,0.8863636363636364,0.82004662004662,0.7571095571095572,0.1057278449138711,0.10844464154146541,0,0,-0.022727272727272707,-0.0629370629370628,-0.0027167966275943034,0
song_12.csv,24,1,0.9583333333333334,0.9166666666666666,0.96,0.9199999999999999,0.03662643728324112,0.050857337571176116,1,1,-0.04166666666666674,-0.040000000000000036,-0.014230900287934993,0
song_71.csv,28,1,0.7857142857142857,0.75,0.6308552558552559,0.5689865689865691,0.11246045340335802,0.11139649338828717,0,0,-0.0357142857142857,-0.06186868686868685,0.00106396001507085,0
song_85.csv,68,1,0.8970588235294118,0.9558823529411765,0.7576853667424388,0.8469358598390856,0.12243021038973002,0.06800702568933732,1,0,0.05882352941176472,0.08925049309664679,0.0544231847003927,1
song_78.csv,180,0,0.8944444444444445,0.8944444444444445,0.8231219083378033,0.8914791781562367,0.08679257495115851,0.09653975971821645,1,1,0.0,0.06835726981843337,-0.009747184767057937,0
